Name Code Northings Eastings Elevation Longitude Latitude H Antenna_offset Solution Satellites PDOP Horizontal_error Vertical_error Time HRMS VRMS
2 set1 4092027.94213 597216.16567 3.77 -121.9078466293 36.9693356839 -29.491 0 Fix 12 1.672 0.01 0.02 "2024-10-23 10:04:09" NaN NaN
3 set1 4092022.43098 597246.04334 3.631 -121.9075117406 36.9692829251 -29.63 0 Fix 11 2.286 0.013 0.027 "2024-10-23 10:08:56" NaN NaN
4 set1 4092027.6587 597277.58287 3.092 -121.907156802 36.9693267812 -30.167 0 Fix 12 1.682 0.01 0.019 "2024-10-23 10:09:38" NaN NaN
5 set1 4091992.33234 597278.43247 3.751 -121.9071518111 36.9690083027 -29.511 0 Fix 12 1.682 0.01 0.021 "2024-10-23 10:10:21" NaN NaN
6 set1 4092041.14828 597225.00993 3.578 -121.907745586 36.9694537949 -29.681 0 Fix 13 1.601 0.014 0.025 "2024-10-23 10:33:26" NaN NaN
7 set2 4091982.14423 597294.85945 3.74 -121.9069686103 36.9689147804 -29.522 0 Fix 12 1.828 0.015 0.031 "2024-10-23 10:37:37" NaN NaN
8 set2 4092019.4409 597308.40959 2.73 -121.9068116028 36.9692495276 -30.53 0 Fix 12 1.856 0.017 0.034 "2024-10-23 10:39:35" NaN NaN
10 set2 4091975.21152 597308.41656 3.747 -121.9068172256 36.968850895 -29.516 0 Fix 12 1.875 0.014 0.028 "2024-10-23 10:40:58" NaN NaN
11 set2 4091996.18731 597321.94671 2.868 -121.9066625461 36.9690385468 -30.393 0 Fix 12 1.885 0.014 0.028 "2024-10-23 10:41:42" NaN NaN
12 set2 4091968.57371 597331.7075 3.581 -121.9065564696 36.9687886603 -29.681 0 Fix 12 1.894 0.014 0.028 "2024-10-23 10:42:25" NaN NaN
13 set3 4091990.31456 597390.67947 3.686 -121.9058912719 36.9689785043 -29.574 0 Fix 12 1.948 0.015 0.031 "2024-10-23 10:47:40" NaN NaN
