Name Code Northings Eastings Elevation Longitude Latitude H Antenna_offset Solution Satellites PDOP Horizontal_error Vertical_error Time HRMS VRMS
34 set7 4092080.35206 597160.98688 3.457 -121.9084596753 36.9698137461 -29.801 0 Fix 11 2.637 0.014 0.032 "2024-10-23 11:28:51" NaN NaN
35 set7 4092079.66334 597140.76656 3.656 -121.9086868886 36.9698096267 -29.603 0 Fix 11 2.632 0.013 0.03 "2024-10-23 11:29:29" NaN NaN
36 set7 4092084.54366 597117.63152 3.695 -121.9089461248 36.9698560008 -29.564 0 Fix 11 2.626 0.013 0.03 "2024-10-23 11:30:06" NaN NaN
37 set7 4092105.33063 597125.05783 3.462 -121.9088600343 36.9700425837 -29.795 0 Fix 11 2.617 0.016 0.037 "2024-10-23 11:31:02" NaN NaN
38 set8 4092100.6244 597090.0195 3.719 -121.9092542087 36.9700037838 -29.539 0 Fix 11 2.572 0.019 0.043 "2024-10-23 11:35:08" NaN NaN
39 set8 4092113.74322 597102.06094 3.43 -121.9091172654 36.9701207788 -29.827 0 Fix 11 2.563 0.019 0.043 "2024-10-23 11:35:54" NaN NaN
40 set8 4092117.60819 597075.07188 3.456 -121.9094199242 36.9701583984 -29.801 0 Fix 11 2.553 0.02 0.044 "2024-10-23 11:36:38" NaN NaN
41 set8 4092120.77978 597054.76292 3.645 -121.9096476378 36.9701890788 -29.613 0 Fix 11 2.544 0.02 0.045 "2024-10-23 11:37:19" NaN NaN
42 set8 4092134.95792 597058.02843 3.461 -121.9096091348 36.9703165272 -29.796 0 Fix 11 2.531 0.012 0.025 "2024-10-23 11:38:22" NaN NaN
43 set9 4092131.64836 597035.54033 3.593 -121.9098621595 36.9702890184 -29.664 0 Fix 11 2.478 0.011 0.024 "2024-10-23 11:42:10" NaN NaN
44 set9 4092144.70007 597041.95194 3.398 -121.9097884628 36.97040599 -29.859 0 Fix 11 2.466 0.011 0.024 "2024-10-23 11:43:01" NaN NaN
46 set9 4092153.0207 597017.93884 3.497 -121.9100571226 36.9704834591 -29.759 0 Fix 11 2.439 0.012 0.024 "2024-10-23 11:44:51" NaN NaN
47 set9 4092158.14264 596995.85382 3.843 -121.9103045366 36.9705318997 -29.413 0 Fix 11 2.43 0.012 0.024 "2024-10-23 11:45:29" NaN NaN
48 set9 4092170.24714 596995.75866 3.76 -121.9103040502 36.9706410053 -29.495 0 Fix 11 2.392 0.011 0.023 "2024-10-23 11:48:05" NaN NaN
49 set10 4092170.77395 596978.65707 3.945 -121.9104960782 36.9706475165 -29.311 0 Fix 13 1.954 0.011 0.023 "2024-10-23 11:56:33" NaN NaN
50 set10 4092183.35536 596981.06878 3.869 -121.9104673719 36.9707606621 -29.386 0 Fix 13 1.952 0.011 0.022 "2024-10-23 11:57:21" NaN NaN
51 set10 4092178.92895 596960.15247 3.772 -121.910702886 36.9707229235 -29.483 0 Fix 13 1.712 0.012 0.023 "2024-10-23 11:58:21" NaN NaN
52 set10 4092186.54413 596941.08 3.658 -121.910916142 36.9707935234 -29.597 0 Fix 14 1.713 0.012 0.022 "2024-10-23 11:59:01" NaN NaN
53 set10 4092196.68223 596944.37452 3.479 -121.9108778339 36.970884557 -29.776 0 Fix 13 1.794 0.014 0.023 "2024-10-23 11:59:27" NaN NaN
