Name Code Northings Eastings Elevation Longitude Latitude H Antenna_offset Solution Satellites PDOP Horizontal_error Vertical_error Time HRMS VRMS
34 set5 4092017.12611 597253.45002 5.009 -121.9074292292 36.9692343476 -28.251 0 Fix 13 1.429 0.01 0.02 "2025-01-23 09:48:42" NaN NaN
35 set6 4092032.04666 597245.57203 5.102 -121.907515796 36.9693696383 -28.158 0 Fix 12 1.757 0.011 0.021 "2025-01-23 09:51:22" NaN NaN
36 set6 4092039.82984 597232.43994 5.139 -121.9076622987 36.9694411441 -28.12 0 Fix 12 1.752 0.011 0.021 "2025-01-23 09:51:56" NaN NaN
37 set6 4092044.69419 597217.30584 5.117 -121.907831665 36.9694865497 -28.142 0 Fix 12 1.578 0.011 0.022 "2025-01-23 09:52:22" NaN NaN
38 set6 4092030.86813 597221.04869 4.872 -121.9077914043 36.969361551 -28.388 0 Fix 13 1.548 0.011 0.02 "2025-01-23 09:52:45" NaN NaN
39 set6 4092024.82358 597233.35865 4.414 -121.9076539122 36.9693058003 -28.847 0 Fix 13 1.547 0.011 0.02 "2025-01-23 09:53:10" NaN NaN
40 set7 4092046.42357 597208.94117 5.032 -121.9079253981 36.9695030006 -28.228 0 Fix 12 1.725 0.011 0.021 "2025-01-23 09:55:15" NaN NaN
41 set7 4092055.26731 597200.37742 5.338 -121.9080204513 36.9695835926 -27.921 0 Fix 12 1.57 0.011 0.02 "2025-01-23 09:55:42" NaN NaN
42 set7 4092068.31276 597185.99242 5.403 -121.9081803507 36.9697026551 -27.855 0 Fix 12 1.717 0.011 0.021 "2025-01-23 09:56:13" NaN NaN
43 set7 4092068.58751 597213.92292 7.105 -121.9078665866 36.9697022458 -26.153 0 Fix 13 1.529 0.011 0.021 "2025-01-23 09:56:59" NaN NaN
44 set7 4092080.96397 597199.85775 7.175 -121.9080229798 36.9698152459 -26.083 0 Fix 11 1.806 0.013 0.025 "2025-01-23 09:57:31" NaN NaN
47 set8 4092076.03085 597168.07107 5.239 -121.9083806583 36.9697740681 -28.019 0 Fix 13 1.665 0.011 0.019 "2025-01-23 10:01:52" NaN NaN
82 set15 4092062.4463 597142.87493 3.441 -121.9086654218 36.9696542347 -29.819 0 Fix 15 1.382 0.01 0.014 "2025-01-23 10:33:55" NaN NaN
83 set15 4092055.65356 597155.00068 3.487 -121.9085300939 36.9695917608 -29.773 0 Fix 15 1.383 0.01 0.014 "2025-01-23 10:34:19" NaN NaN
84 set15 4092054.7831 597170.49484 4.495 -121.9083561684 36.9695823153 -28.765 0 Fix 15 1.384 0.01 0.014 "2025-01-23 10:34:45" NaN NaN
85 set15 4092052.55042 597183.94987 4.837 -121.9082053227 36.9695608027 -28.423 0 Fix 15 1.337 0.01 0.014 "2025-01-23 10:35:11" NaN NaN
87 set16 4092032.092 597202.0433 4.509 -121.9080047234 36.9693745452 -28.752 0 Fix 16 1.341 0.011 0.016 "2025-01-23 10:37:14" NaN NaN
88 set16 4092034.17095 597190.15026 4.03 -121.9081380434 36.9693945111 -29.231 0 Fix 16 1.343 0.011 0.016 "2025-01-23 10:37:58" NaN NaN
89 set16 4092036.95737 597180.4817 3.798 -121.9082462862 36.9694206234 -29.463 0 Fix 16 1.343 0.01 0.014 "2025-01-23 10:38:19" NaN NaN
90 set16 4092044.64294 597202.78417 4.969 -121.9079947855 36.9694875882 -28.291 0 Fix 16 1.344 0.009 0.013 "2025-01-23 10:38:52" NaN NaN
91 set16 4092019.43132 597210.26373 3.406 -121.9079140182 36.9692595873 -29.855 0 Fix 16 1.345 0.009 0.013 "2025-01-23 10:39:50" NaN NaN
92 set17 4092010.3098 597225.59961 3.329 -121.9077429342 36.9691757918 -29.932 0 Fix 15 1.346 0.009 0.014 "2025-01-23 10:41:21" NaN NaN
93 set17 4092019.85853 597231.30705 4.066 -121.9076775961 36.9692612631 -29.195 0 Fix 16 1.347 0.009 0.014 "2025-01-23 10:41:43" NaN NaN
94 set17 4092014.41697 597244.7044 4.501 -121.9075278126 36.9692108346 -28.76 0 Fix 16 1.347 0.009 0.014 "2025-01-23 10:42:09" NaN NaN
95 set17 4092006.18793 597236.05393 3.337 -121.907626038 36.9691375617 -29.924 0 Fix 16 1.347 0.009 0.014 "2025-01-23 10:42:33" NaN NaN
96 set17 4092001.62093 597244.37742 3.316 -121.9075331336 36.9690955398 -29.946 0 Fix 16 1.347 0.009 0.014 "2025-01-23 10:42:57" NaN NaN
97 set18 4091998.38716 597259.00728 4.069 -121.907369222 36.9690648821 -29.193 0 Fix 16 1.346 0.009 0.013 "2025-01-23 10:44:42" NaN NaN
