Name Code Northings Eastings Elevation Longitude Latitude H Antenna_offset Solution Satellites PDOP Horizontal_error Vertical_error Time HRMS VRMS
10 set1 4091884.10039 597525.17884 5.957 -121.9043942479 36.9680072822 -27.308 0 Fix 13 1.537 0.01 0.018 "2025-01-23 09:20:50" NaN NaN
11 set1 4091908.15677 597484.86204 4.907 -121.9048439886 36.9682282763 -28.356 0 Fix 13 1.535 0.01 0.018 "2025-01-23 09:21:50" NaN NaN
12 set1 4091935.28538 597466.19881 5.153 -121.9050501162 36.9684747154 -28.11 0 Fix 13 1.533 0.01 0.019 "2025-01-23 09:22:36" NaN NaN
13 set1 4091951.49195 597432.09832 4.936 -121.905431051 36.9686243144 -28.327 0 Fix 14 1.387 0.01 0.018 "2025-01-23 09:23:23" NaN NaN
14 set1 4091975.67255 597400.05076 5.227 -121.9057878993 36.9688455682 -28.034 0 Fix 14 1.378 0.009 0.017 "2025-01-23 09:25:07" NaN NaN
15 set2 4092010.89188 597382.66184 5.893 -121.9059786745 36.969164794 -27.367 0 Fix 14 1.448 0.009 0.016 "2025-01-23 09:30:42" NaN NaN
16 set2 4091982.92327 597416.13085 6.083 -121.9056063466 36.9689092529 -27.178 0 Fix 14 1.446 0.009 0.016 "2025-01-23 09:31:26" NaN NaN
17 set2 4091964.75954 597432.70658 5.936 -121.9054225064 36.9687438299 -27.326 0 Fix 14 1.444 0.009 0.016 "2025-01-23 09:32:16" NaN NaN
18 set2 4091973.27503 597437.94722 6.451 -121.9053625428 36.9688200359 -26.81 0 Fix 14 1.443 0.009 0.017 "2025-01-23 09:32:40" NaN NaN
19 set2 4091964.26724 597464.37718 6.154 -121.9050668356 36.9687361125 -27.107 0 Fix 14 1.439 0.009 0.016 "2025-01-23 09:33:43" NaN NaN
20 set3 4091971.62329 597390.89492 4.913 -121.9058912632 36.9688100207 -28.348 0 Fix 14 1.429 0.009 0.017 "2025-01-23 09:36:38" NaN NaN
21 set3 4091994.6427 597362.73718 5.424 -121.9062045717 36.9690204051 -27.836 0 Fix 14 1.425 0.01 0.018 "2025-01-23 09:37:34" NaN NaN
22 set3 4092008.56616 597350.21833 5.221 -121.9063433925 36.9691471903 -28.039 0 Fix 14 1.422 0.009 0.018 "2025-01-23 09:38:10" NaN NaN
23 set3 4092021.335 597359.6658 6.599 -121.9062356281 36.9692612961 -26.66 0 Fix 14 1.419 0.009 0.018 "2025-01-23 09:38:46" NaN NaN
24 set3 4092031.13698 597341.10043 6.911 -121.9064428979 36.9693515607 -26.347 0 Fix 14 1.417 0.01 0.018 "2025-01-23 09:39:15" NaN NaN
25 set4 4092037.93856 597315.97147 6.885 -121.9067242802 36.9694154618 -26.374 0 Fix 15 1.272 0.01 0.018 "2025-01-23 09:41:42" NaN NaN
26 set4 4092006.62836 597328.49492 4.627 -121.9065876481 36.9691319728 -28.633 0 Fix 15 1.269 0.009 0.017 "2025-01-23 09:42:46" NaN NaN
27 set4 4091987.83795 597327.10737 4.834 -121.9066056561 36.9689627615 -28.427 0 Fix 15 1.268 0.011 0.021 "2025-01-23 09:43:13" NaN NaN
28 set4 4092001.53198 597304.02314 4.972 -121.9068631815 36.9690885713 -28.289 0 Fix 15 1.266 0.011 0.02 "2025-01-23 09:43:43" NaN NaN
29 set4 4092021.03645 597307.48296 4.97 -121.9068218054 36.9692640039 -28.29 0 Fix 15 1.265 0.012 0.022 "2025-01-23 09:44:12" NaN NaN
30 set5 4092042.52555 597284.05432 6.777 -121.9070821962 36.9694601044 -26.482 0 Fix 13 1.629 0.012 0.022 "2025-01-23 09:46:22" NaN NaN
31 set5 4092012.44117 597284.3364 5.112 -121.9070829046 36.9691889298 -28.148 0 Fix 15 1.255 0.01 0.019 "2025-01-23 09:47:15" NaN NaN
32 set5 4092029.42751 597276.68671 5.776 -121.9071666402 36.9693428158 -27.484 0 Fix 14 1.358 0.011 0.021 "2025-01-23 09:47:50" NaN NaN
33 set5 4092030.831 597265.46127 5.72 -121.9072925482 36.9693566258 -27.54 0 Fix 12 1.603 0.011 0.02 "2025-01-23 09:48:14" NaN NaN
34 set5 4092017.12611 597253.45002 5.009 -121.9074292292 36.9692343476 -28.251 0 Fix 13 1.429 0.01 0.02 "2025-01-23 09:48:42" NaN NaN
35 set6 4092032.04666 597245.57203 5.102 -121.907515796 36.9693696383 -28.158 0 Fix 12 1.757 0.011 0.021 "2025-01-23 09:51:22" NaN NaN
36 set6 4092039.82984 597232.43994 5.139 -121.9076622987 36.9694411441 -28.12 0 Fix 12 1.752 0.011 0.021 "2025-01-23 09:51:56" NaN NaN
38 set6 4092030.86813 597221.04869 4.872 -121.9077914043 36.969361551 -28.388 0 Fix 13 1.548 0.011 0.02 "2025-01-23 09:52:45" NaN NaN
39 set6 4092024.82358 597233.35865 4.414 -121.9076539122 36.9693058003 -28.847 0 Fix 13 1.547 0.011 0.02 "2025-01-23 09:53:10" NaN NaN
92 set17 4092010.3098 597225.59961 3.329 -121.9077429342 36.9691757918 -29.932 0 Fix 15 1.346 0.009 0.014 "2025-01-23 10:41:21" NaN NaN
93 set17 4092019.85853 597231.30705 4.066 -121.9076775961 36.9692612631 -29.195 0 Fix 16 1.347 0.009 0.014 "2025-01-23 10:41:43" NaN NaN
94 set17 4092014.41697 597244.7044 4.501 -121.9075278126 36.9692108346 -28.76 0 Fix 16 1.347 0.009 0.014 "2025-01-23 10:42:09" NaN NaN
95 set17 4092006.18793 597236.05393 3.337 -121.907626038 36.9691375617 -29.924 0 Fix 16 1.347 0.009 0.014 "2025-01-23 10:42:33" NaN NaN
96 set17 4092001.62093 597244.37742 3.316 -121.9075331336 36.9690955398 -29.946 0 Fix 16 1.347 0.009 0.014 "2025-01-23 10:42:57" NaN NaN
97 set18 4091998.38716 597259.00728 4.069 -121.907369222 36.9690648821 -29.193 0 Fix 16 1.346 0.009 0.013 "2025-01-23 10:44:42" NaN NaN
