Name Code Northings Eastings Elevation Longitude Latitude H Antenna_offset Solution Satellites PDOP Horizontal_error Vertical_error Time HRMS VRMS
41 set7 4092055.26731 597200.37742 5.338 -121.9080204513 36.9695835926 -27.921 0 Fix 12 1.57 0.011 0.02 "2025-01-23 09:55:42" NaN NaN
42 set7 4092068.31276 597185.99242 5.403 -121.9081803507 36.9697026551 -27.855 0 Fix 12 1.717 0.011 0.021 "2025-01-23 09:56:13" NaN NaN
43 set7 4092068.58751 597213.92292 7.105 -121.9078665866 36.9697022458 -26.153 0 Fix 13 1.529 0.011 0.021 "2025-01-23 09:56:59" NaN NaN
44 set7 4092080.96397 597199.85775 7.175 -121.9080229798 36.9698152459 -26.083 0 Fix 11 1.806 0.013 0.025 "2025-01-23 09:57:31" NaN NaN
45 set8 4092093.85574 597190.32455 7.28 -121.9081284016 36.9699324222 -25.977 0 Fix 12 1.69 0.011 0.021 "2025-01-23 09:59:10" NaN NaN
46 set8 4092096.3267 597169.39098 7.225 -121.90836322 36.9699568549 -26.032 0 Fix 12 1.864 0.011 0.02 "2025-01-23 10:01:16" NaN NaN
47 set8 4092076.03085 597168.07107 5.239 -121.9083806583 36.9697740681 -28.019 0 Fix 13 1.665 0.011 0.019 "2025-01-23 10:01:52" NaN NaN
48 set8 4092086.03639 597159.35659 5.295 -121.9084772559 36.9698651464 -27.963 0 Fix 13 1.448 0.011 0.021 "2025-01-23 10:02:22" NaN NaN
49 set8 4092094.05023 597141.88066 5.365 -121.9086725231 36.9699391784 -27.893 0 Fix 13 1.452 0.011 0.019 "2025-01-23 10:02:56" NaN NaN
50 set9 4092100.56735 597131.03572 5.199 -121.9087935005 36.9699990359 -28.059 0 Fix 13 1.477 0.012 0.021 "2025-01-23 10:05:03" NaN NaN
51 set9 4092106.14164 597117.01202 5.515 -121.9089503048 36.9700507238 -27.742 0 Fix 13 1.506 0.012 0.021 "2025-01-23 10:05:44" NaN NaN
52 set9 4092110.70171 597135.77352 7.055 -121.9087389789 36.9700898861 -26.202 0 Fix 14 1.364 0.011 0.018 "2025-01-23 10:06:27" NaN NaN
53 set9 4092104.07006 597154.3202 7.141 -121.9085315062 36.970028201 -26.116 0 Fix 14 1.411 0.01 0.017 "2025-01-23 10:06:55" NaN NaN
54 set9 4092114.55089 597158.23387 7.514 -121.9084861968 36.9701222588 -25.743 0 Fix 12 1.695 0.011 0.019 "2025-01-23 10:07:24" NaN NaN
56 set10 4092129.43078 597106.17128 7.097 -121.9090690779 36.970261744 -26.159 0 Fix 15 1.298 0.011 0.017 "2025-01-23 10:11:07" NaN NaN
57 set10 4092120.44039 597098.47149 5.529 -121.9091567227 36.9701815098 -27.728 0 Fix 15 1.299 0.01 0.017 "2025-01-23 10:11:36" NaN NaN
58 set10 4092110.52659 597102.35817 4.889 -121.9091143406 36.9700917572 -28.369 0 Fix 15 1.301 0.011 0.017 "2025-01-23 10:11:57" NaN NaN
59 set10 4092125.19455 597080.37593 5.395 -121.9093593706 36.9702262258 -27.862 0 Fix 15 1.303 0.011 0.017 "2025-01-23 10:12:30" NaN NaN
60 set10 4092114.51674 597079.24773 4.564 -121.9093734163 36.9701301048 -28.694 0 Fix 15 1.291 0.01 0.016 "2025-01-23 10:12:51" NaN NaN
61 set11 4092133.8638 597069.30795 5.509 -121.9094825775 36.9703055023 -27.748 0 Fix 16 1.259 0.01 0.016 "2025-01-23 10:15:09" NaN NaN
62 set11 4092116.60855 597060.00067 4.384 -121.9095893408 36.9701509438 -28.874 0 Fix 15 1.308 0.01 0.015 "2025-01-23 10:15:37" NaN NaN
63 set11 4092131.37714 597056.05352 4.706 -121.9096317785 36.970284458 -28.551 0 Fix 15 1.314 0.01 0.016 "2025-01-23 10:16:01" NaN NaN
64 set11 4092144.6 597041.03259 5.128 -121.9097988024 36.970405183 -28.128 0 Fix 15 1.353 0.012 0.019 "2025-01-23 10:16:30" NaN NaN
65 set11 4092131.56351 597037.63592 4.433 -121.9098386315 36.9702880375 -28.825 0 Fix 16 1.265 0.013 0.019 "2025-01-23 10:16:54" NaN NaN
66 set12 4092140.28537 597026.37195 4.845 -121.9099640338 36.970367808 -28.411 0 Fix 16 1.27 0.012 0.018 "2025-01-23 10:18:31" NaN NaN
67 set12 4092152.68603 597030.33491 5.256 -121.9099179256 36.9704791644 -28 0 Fix 16 1.272 0.012 0.018 "2025-01-23 10:19:06" NaN NaN
68 set12 4092150.98704 597015.78569 4.895 -121.9100815694 36.9704653522 -28.362 0 Fix 16 1.276 0.01 0.015 "2025-01-23 10:20:36" NaN NaN
69 set12 4092140.54194 597009.0296 3.878 -121.9101588002 36.9703719089 -29.379 0 Fix 15 1.338 0.01 0.015 "2025-01-23 10:21:01" NaN NaN
70 set12 4092131.14927 597020.63736 3.591 -121.9100296222 36.9702860572 -29.666 0 Fix 16 1.278 0.012 0.017 "2025-01-23 10:21:37" NaN NaN
71 set13 4092123.56221 597029.77009 3.31 -121.9099280135 36.9702167343 -29.948 0 Fix 16 1.285 0.013 0.019 "2025-01-23 10:26:02" NaN NaN
72 set13 4092116.28379 597041.85902 3.418 -121.9097931595 36.9701498883 -29.84 0 Fix 16 1.286 0.012 0.018 "2025-01-23 10:26:42" NaN NaN
73 set13 4092106.77793 597054.09652 3.312 -121.9096569234 36.9700629511 -29.946 0 Fix 16 1.286 0.012 0.017 "2025-01-23 10:27:20" NaN NaN
74 set13 4092101.48009 597068.73993 3.436 -121.909493122 36.9700136918 -29.823 0 Fix 16 1.287 0.01 0.014 "2025-01-23 10:27:47" NaN NaN
75 set13 4092099.26347 597079.2094 3.616 -121.9093758084 36.9699926334 -29.642 0 Fix 16 1.287 0.01 0.014 "2025-01-23 10:28:19" NaN NaN
76 set14 4092101.00212 597091.18813 4.216 -121.9092410335 36.9700070675 -29.042 0 Fix 16 1.287 0.01 0.014 "2025-01-23 10:29:59" NaN NaN
77 set14 4092089.15762 597098.81293 3.419 -121.9091569112 36.969899528 -29.84 0 Fix 16 1.287 0.01 0.015 "2025-01-23 10:30:25" NaN NaN
78 set14 4092095.45468 597110.27402 4.309 -121.9090273644 36.9699550995 -28.949 0 Fix 16 1.287 0.01 0.015 "2025-01-23 10:30:51" NaN NaN
79 set14 4092082.85871 597113.70322 3.455 -121.9089904662 36.9698412201 -29.804 0 Fix 16 1.287 0.01 0.014 "2025-01-23 10:31:15" NaN NaN
80 set14 4092079.37959 597133.68315 4.206 -121.9087664894 36.9698078008 -29.053 0 Fix 16 1.287 0.01 0.014 "2025-01-23 10:31:45" NaN NaN
81 set15 4092073.85206 597148.74261 5.048 -121.9085980454 36.9697564271 -28.211 0 Fix 16 1.285 0.01 0.014 "2025-01-23 10:33:25" NaN NaN
82 set15 4092062.4463 597142.87493 3.441 -121.9086654218 36.9696542347 -29.819 0 Fix 15 1.382 0.01 0.014 "2025-01-23 10:33:55" NaN NaN
83 set15 4092055.65356 597155.00068 3.487 -121.9085300939 36.9695917608 -29.773 0 Fix 15 1.383 0.01 0.014 "2025-01-23 10:34:19" NaN NaN
84 set15 4092054.7831 597170.49484 4.495 -121.9083561684 36.9695823153 -28.765 0 Fix 15 1.384 0.01 0.014 "2025-01-23 10:34:45" NaN NaN
85 set15 4092052.55042 597183.94987 4.837 -121.9082053227 36.9695608027 -28.423 0 Fix 15 1.337 0.01 0.014 "2025-01-23 10:35:11" NaN NaN
89 set16 4092036.95737 597180.4817 3.798 -121.9082462862 36.9694206234 -29.463 0 Fix 16 1.343 0.01 0.014 "2025-01-23 10:38:19" NaN NaN
